tweet-id,tweet-id_trunc,tweet-created_at,tweet-text,tweet-url,tweet-type,tweet-time_harvey,tweet-rel_harvey,tweet-fore_harvey,user-id,user-name,user-screen_name,user-location,user-verified,user-followers,user-friends,user-scope,user-scope_loc,user-scope_nat,user-agency,user-agency_ind,user-agency_org,user-affiliation,user-scope_aff,media-type,media-urls,media-url_num,media-url1,media-url2,media-url3,media-url4,image-branding_off,image-branding_unoff,image-lang_english,image-lang_spanish,image-type_arrival,image-type_cone,image-type_conv-out,image-type_evac,image-type_key-msg,image-type_meso-disc,image-type_meso-disc_spc,image-type_meso-disc_wpc,image-type_model,image-type_other-fore,image-type_other-non-fore,image-type_prob,image-type_rain-fore,image-type_rain-out,image-type_riv-flood,image-type_spag,image-type_surge,image-type_text,image-type_threat-impact,image-type_trop-out,image-type_video,image-type_ww,image-type_ww_cone,image-type_ww_exp,image-type_ww_md,image-type_rain,image-type_conv,image-type_multi,image-type_sum,image-type,diffusion-rt_count,diffusion-qt_count,diffusion-combined_rt_qt_count,diffusion-reply_count,diffusion-rt_count_5m,diffusion-rt_count_10m,diffusion-rt_count_15m,diffusion-rt_count_30m,diffusion-rt_count_60m,diffusion-rt_count_120m,diffusion-rt_count_240m,diffusion-rt_count_360m,diffusion-combined_rt_qt_count_5m,diffusion-combined_rt_qt_count_10m,diffusion-combined_rt_qt_count_15m,diffusion-combined_rt_qt_count_30m,diffusion-combined_rt_qt_count_60m,diffusion-combined_rt_qt_count_120m,diffusion-combined_rt_qt_count_240m,diffusion-combined_rt_qt_count_360m,diffusion-qt_count_5m,diffusion-qt_count_10m,diffusion-qt_count_15m,diffusion-qt_count_30m,diffusion-qt_count_60m,diffusion-qt_count_120m,diffusion-qt_count_240m,diffusion-qt_count_360m,diffusion-reply_count_5m,diffusion-reply_count_10m,diffusion-reply_count_15m,diffusion-reply_count_30m,diffusion-reply_count_60m,diffusion-reply_count_120m,diffusion-reply_count_240m,diffusion-reply_count_360m
901771146588299264,901771146588299,2017-08-27 11:39:00+00:00,"""What exactly am I under right now?""  Here is a breakdown of the current watches/warnings/advisories. #txwx ",https://t.co/cvt9bnpqov,original_tweet,1,1,1,594749537,NWS San Antonio,nwssanantonio,"New Braunfels, Texas",True,26487,189,Local,1.0,0.0,Organization,0.0,1.0,NWS,Local NWS,single_photo,http://pbs.twimg.com/media/DIO78DXXgAAp6Ta.jpg,1,http://pbs.twimg.com/media/DIO78DXXgAAp6Ta.jpg,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Watch/Warning,49,0,49,3,5.0,12.0,15.0,18.0,28.0,38.0,41.0,45.0,5.0,12.0,15.0,18.0,28.0,38.0,41.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
902915826260426752,902915826260426,2017-08-30 15:28:00+00:00,#BREAKING: A TORNADO WATCH has been issued for portions of Louisiana and Mississippi until 6PM ct. #Tornado ,https://t.co/4hdGEpbQgN,original_tweet,1,1,1,25531732,WeatherNation,weathernation,0,True,129935,3854,National,0.0,1.0,Organization,0.0,1.0,Wx Media,National Wx Media,single_photo,http://pbs.twimg.com/media/DIfNKA2UMAAAcjO.jpg,1,http://pbs.twimg.com/media/DIfNKA2UMAAAcjO.jpg,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Watch/Warning,6,0,6,0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
902240984242593792,902240984242593,2017-08-28 18:46:00+00:00,#BREAKING: Mandatory evacuation ordered for city of Dickinson https://t.co/HXeMVab0Am #KPRC2 ,https://t.co/Bc3MnZ7gTq,original_tweet,1,1,1,27583598,KPRC 2 Houston,kprc2,"Houston, TX",True,556138,1538,Local,1.0,0.0,Organization,0.0,1.0,News Media,Local News Media,single_photo,http://pbs.twimg.com/media/DIVnYBjXoAIh8EO.jpg,1,http://pbs.twimg.com/media/DIVnYBjXoAIh8EO.jpg,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Other - Forecast,93,0,93,7,29.0,41.0,50.0,68.0,81.0,87.0,90.0,91.0,29.0,41.0,50.0,68.0,81.0,87.0,90.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,5.0,7.0,7.0,7.0
903369247992168448,903369247992168,2017-08-31 21:29:00+00:00,#BREAKING: PDS Tornado warning extended to Marion and Winston counties in AL through 5:30 pm CDT. Seek shelter now! ,https://t.co/MYclWlHLIe,original_tweet,1,1,1,25531732,WeatherNation,weathernation,0,True,130009,3854,National,0.0,1.0,Organization,0.0,1.0,Wx Media,National Wx Media,multi_photo,"http://pbs.twimg.com/media/DIlpgD1UEAAGAd5.jpg,http://pbs.twimg.com/media/DIlpgD4V4AATS6B.jpg",2,http://pbs.twimg.com/media/DIlpgD1UEAAGAd5.jpg,http://pbs.twimg.com/media/DIlpgD4V4AATS6B.jpg,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Watch/Warning,11,0,11,0,4.0,5.0,5.0,8.0,9.0,11.0,11.0,11.0,4.0,5.0,5.0,8.0,9.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
901341975055486978,901341975055486,2017-08-26 07:14:00+00:00,#BREAKING: Tornado sighting - Sienna Plantation area / Please take cover and do not get out of shelter - @FBCSO ,https://t.co/bui0FEZTfW,original_tweet,1,1,1,17094323,FOX26Houston,fox26houston,"Houston, Texas",True,246727,5362,Local,1.0,0.0,Organization,0.0,1.0,News Media,Local News Media,single_photo,http://pbs.twimg.com/media/DII1ulpU0AAIvuE.jpg,1,http://pbs.twimg.com/media/DII1ulpU0AAIvuE.jpg,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Other - Non-Forecast,15,0,15,0,8.0,10.0,10.0,13.0,14.0,14.0,14.0,15.0,8.0,10.0,10.0,13.0,14.0,14.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
902221787655618560,902221787655618,2017-08-28 17:30:00+00:00,#BREAKING: Tornado Watch now extended for ALL coastal areas of Louisiana. #Tornado #Harvey ,https://t.co/hNKt2m4cGh,original_tweet,1,1,1,25531732,WeatherNation,weathernation,0,True,129836,3852,National,0.0,1.0,Organization,0.0,1.0,Wx Media,National Wx Media,single_photo,http://pbs.twimg.com/media/DIVV7puVYAEhbEf.jpg,1,http://pbs.twimg.com/media/DIVV7puVYAEhbEf.jpg,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Watch/Warning,49,0,49,4,2.0,4.0,5.0,13.0,22.0,32.0,35.0,40.0,2.0,4.0,5.0,13.0,22.0,32.0,35.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0
902034410488315904,902034410488315,2017-08-28 05:05:00+00:00,#FOX26WX Tornado warning in effect for central Chambers County until 12:30 a.m. Monday ==&gt; https://t.co/bhGxNjTSl1 ,https://t.co/f0F3RbHMnJ,original_tweet,1,1,1,17094323,FOX26Houston,fox26houston,"Houston, Texas",True,251296,5364,Local,1.0,0.0,Organization,0.0,1.0,News Media,Local News Media,single_photo,http://pbs.twimg.com/media/DISrNe_VAAAbbOL.jpg,1,http://pbs.twimg.com/media/DISrNe_VAAAbbOL.jpg,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Watch/Warning,5,0,5,1,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
902043187178422273,902043187178422,2017-08-28 05:40:00+00:00,"#FOX26WX Tornado warning in effect for Chambers, Galveston counties until 1 a.m. Monday ==&gt; https://t.co/bhGxNjTSl1 ",https://t.co/Dx2OJH6eQK,original_tweet,1,1,1,17094323,FOX26Houston,fox26houston,"Houston, Texas",True,251359,5364,Local,1.0,0.0,Organization,0.0,1.0,News Media,Local News Media,single_photo,http://pbs.twimg.com/media/DISzVbIVAAAx44S.jpg,1,http://pbs.twimg.com/media/DISzVbIVAAAx44S.jpg,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Watch/Warning,16,0,16,3,11.0,11.0,12.0,15.0,15.0,16.0,16.0,16.0,11.0,11.0,12.0,15.0,15.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0
903646287035342848,903646287035342,2017-09-01 15:50:00+00:00,#harvey #brazoriacounty ,https://t.co/43TANHk2k1,original_tweet,1,1,1,174752321,Brazoria County,brazoriacounty,Texas,False,5667,163,Local,1.0,0.0,Organization,0.0,1.0,Non-NWS Government,Local Non-NWS Government,multi_photo,"http://pbs.twimg.com/media/DIpldbIVYAAQMoX.jpg,http://pbs.twimg.com/media/DIpldbKUMAAvr7t.jpg",2,http://pbs.twimg.com/media/DIpldbIVYAAQMoX.jpg,http://pbs.twimg.com/media/DIpldbKUMAAvr7t.jpg,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,River Flood Forecast,6,0,6,0,1.0,1.0,1.0,2.0,5.0,5.0,5.0,6.0,1.0,1.0,1.0,2.0,5.0,5.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
903608732105531393,903608732105531,2017-09-01 13:21:00+00:00,#harvey #brazoriacounty ,https://t.co/HblamjNx2K,original_tweet,1,1,1,174752321,Brazoria County,brazoriacounty,Texas,False,5641,163,Local,1.0,0.0,Organization,0.0,1.0,Non-NWS Government,Local Non-NWS Government,multi_photo,"http://pbs.twimg.com/media/DIpDSlkUwAIWFCL.jpg,http://pbs.twimg.com/media/DIpDSldUQAAeo3u.jpg",2,http://pbs.twimg.com/media/DIpDSlkUwAIWFCL.jpg,http://pbs.twimg.com/media/DIpDSldUQAAeo3u.jpg,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,River Flood Forecast,8,0,8,1,2.0,2.0,2.0,4.0,5.0,6.0,7.0,7.0,2.0,2.0,2.0,4.0,5.0,6.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
